UTC,Longitude (deg),Latitude (deg),Elevation (m),TB X (K),TB K (K),TB Ka (K),Antenna Longitude (deg),Antenna Latitude (deg),Antenna Altitude (m),Antenna Yaw (deg),Antenna Pitch (deg),Antenna Look Angle (deg)
20200211-18:33:53.048360,-108.227372,39.071994,2971,247.1,241.2,231.2,-108.052329,38.940324,4525.7,2.02,3.53,44.9
20200211-18:33:53.148380,-108.227372,39.071901,2979,246.3,238.2,229.3,-108.052331,38.940326,4525.7,2.04,3.53,44.9
20200211-18:33:53.248380,-108.227372,39.071809,2979,247.8,237.5,227.4,-108.052334,38.940329,4525.7,2.06,3.53,44.9
20200211-18:33:53.348380,-108.227279,39.071716,2991,247.2,237.5,225.4,-108.052336,38.940331,4525.7,2.05,3.53,44.9
20200211-18:33:53.448380,-108.227279,39.071716,2991,245.7,237.4,222.6,-108.052339,38.940333,4525.6,2.05,3.53,44.9
20200211-18:33:53.548380,-108.227279,39.071624,2994,244.6,237.2,221.8,-108.052341,38.940335,4525.6,2.02,3.53,44.9
20200211-18:33:53.648400,-108.227279,39.071531,3000,245.1,234.6,218.7,-108.052344,38.940337,4525.6,2.01,3.53,44.9
20200211-18:33:53.748400,-108.227279,39.071438,3013,244,235.1,217.2,-108.052346,38.94034,4525.6,2.01,3.53,44.9
20200211-18:33:53.848400,-108.227279,39.071346,3021,244.1,235.9,215.2,-108.052349,38.940342,4525.6,2.03,3.53,44.9
20200211-18:33:53.948400,-108.227279,39.071253,3022,244.6,235,211.6,-108.052352,38.940344,4525.6,2.06,3.53,44.9
20200211-18:33:54.048400,-108.227279,39.071161,3030,243.4,235.8,210.4,-108.052354,38.940346,4525.6,2.06,3.53,44.9
20200211-18:33:54.148400,-108.227279,39.071068,3036,242.1,234.7,209.4,-108.052357,38.940349,4525.6,2.06,3.53,44.9
20200211-18:33:54.248420,-108.227279,39.071068,3036,243.3,233.2,209.1,-108.052359,38.940351,4525.6,2.03,3.54,44.9
20200211-18:33:54.348420,-108.227186,39.070976,3037,246.2,235.3,206.7,-108.052362,38.940353,4525.6,2.01,3.53,44.9
20200211-18:33:54.448400,-108.227186,39.070883,3037,248.2,234.7,206.2,-108.052364,38.940355,4525.6,2.03,3.53,44.9
20200211-18:33:54.548400,-108.227094,39.070883,3037,245.7,234.2,204.3,-108.052367,38.940358,4525.6,2.04,3.54,44.9
20200211-18:33:54.648420,-108.227094,39.07079,3037,244.8,232.3,204.2,-108.052369,38.94036,4525.6,2.06,3.54,44.9
20200211-18:33:54.748420,-108.227001,39.07079,3037,243.8,233.7,204,-108.052372,38.940362,4525.6,2.06,3.54,44.9
20200211-18:33:54.848420,-108.227001,39.070698,3037,244.2,232.3,204,-108.052374,38.940364,4525.6,2.05,3.53,44.9
20200211-18:33:54.948420,-108.226909,39.070698,3037,241.6,232.7,203.9,-108.052377,38.940366,4525.6,2.03,3.54,44.9
20200211-18:33:55.048420,-108.226909,39.070605,3036,240.4,231.3,204.8,-108.05238,38.940369,4525.6,2.01,3.54,44.9
20200211-18:33:55.148420,-108.226816,39.070605,3036,239,231.4,204.4,-108.052382,38.940371,4525.6,2.01,3.54,44.9
20200211-18:33:55.248440,-108.226723,39.070513,3036,239.6,231.6,204.7,-108.052385,38.940373,4525.6,2.02,3.54,44.9
20200211-18:33:55.348440,-108.226723,39.070513,3036,241.3,232.8,205.3,-108.052387,38.940375,4525.6,2.05,3.54,44.9
20200211-18:33:55.448440,-108.226631,39.07042,3036,242.2,232,205.2,-108.05239,38.940378,4525.6,2.06,3.54,44.9
20200211-18:33:55.548440,-108.226538,39.07042,3036,241.6,231.7,205.5,-108.052392,38.94038,4525.5,2.06,3.54,44.9
20200211-18:33:55.648440,-108.226538,39.070327,3036,239.5,231.9,205,-108.052395,38.940382,4525.5,2.05,3.54,44.9
20200211-18:33:55.748460,-108.226446,39.070327,3036,241.6,232,205.8,-108.052397,38.940384,4525.5,2.02,3.54,44.9
20200211-18:33:55.848460,-108.226446,39.070235,3035,242.3,232.3,206,-108.0524,38.940387,4525.5,2.02,3.54,44.9
20200211-18:33:55.948460,-108.226353,39.070235,3036,242,232.1,205.5,-108.052402,38.940389,4525.5,2.02,3.54,44.9
20200211-18:33:56.048460,-108.226353,39.070142,3036,244.2,232.1,204.6,-108.052405,38.940391,4525.5,2.05,3.54,44.9
20200211-18:33:56.148460,-108.22626,39.070142,3036,241.9,231.9,205.2,-108.052407,38.940393,4525.5,2.06,3.54,44.9
20200211-18:33:56.248460,-108.22626,39.07005,3036,243.6,232,205.6,-108.05241,38.940396,4525.5,2.06,3.54,44.9
20200211-18:33:56.348460,-108.226168,39.07005,3036,241.4,233.2,204.7,-108.052413,38.940398,4525.5,2.04,3.54,44.9
20200211-18:33:56.448460,-108.226168,39.069957,3036,241,231.2,206,-108.052415,38.9404,4525.5,2.02,3.54,44.9
20200211-18:33:56.548460,-108.226075,39.069957,3036,240.7,231,205.3,-108.052418,38.940402,4525.5,2.01,3.54,44.9
20200211-18:33:56.648460,-108.226075,39.069864,3036,239.6,232.2,204.9,-108.05242,38.940404,4525.5,2.02,3.55,44.9
20200211-18:33:56.748480,-108.225983,39.069864,3036,241.9,230.8,204.6,-108.052423,38.940407,4525.5,2.04,3.55,44.9
20200211-18:33:56.848480,-108.22589,39.069772,3037,241.6,233.4,205.4,-108.052425,38.940409,4525.5,2.06,3.54,44.9
20200211-18:33:56.948480,-108.22589,39.069772,3037,243.8,232.8,205.1,-108.052428,38.940411,4525.5,2.06,3.55,44.9
20200211-18:33:57.048480,-108.225797,39.069679,3037,241.5,231.7,205.2,-108.05243,38.940413,4525.5,2.05,3.55,44.9
20200211-18:33:57.148480,-108.225705,39.069679,3037,241.5,232.4,205.8,-108.052433,38.940416,4525.5,2.03,3.55,44.9
20200211-18:33:57.248480,-108.225705,39.069587,3037,241.7,231.8,205.4,-108.052435,38.940418,4525.5,2.01,3.55,44.9
20200211-18:33:57.348500,-108.225612,39.069587,3037,242.4,233.4,206.7,-108.05244,38.940422,4525.5,2.04,3.55,44.9
20200211-18:33:57.448500,-108.225612,39.069494,3037,241.4,232,205.9,-108.052443,38.940425,4525.4,2.06,3.55,44.9
20200211-18:33:57.548500,-108.22552,39.069494,3037,243.1,231.5,205.9,-108.052446,38.940427,4525.4,2.07,3.55,44.9
20200211-18:33:57.648500,-108.22552,39.069401,3037,242.2,232.9,206.4,-108.052448,38.940429,4525.4,2.06,3.55,44.9
20200211-18:33:57.748500,-108.225427,39.069401,3037,241.7,234.1,207.2,-108.052451,38.940431,4525.4,2.04,3.55,44.9
20200211-18:33:57.848500,-108.225427,39.069309,3037,242.2,233.5,206.9,-108.052453,38.940433,4525.4,2.02,3.55,44.9
20200211-18:33:57.948520,-108.225334,39.069309,3037,240.6,230.9,207.7,-108.052456,38.940436,4525.4,2.02,3.55,44.9
20200211-18:33:58.048500,-108.225334,39.069216,3037,240.8,232.1,207.6,-108.052458,38.940438,4525.4,2.03,3.55,44.9
20200211-18:33:58.148520,-108.225242,39.069124,3037,242.3,231,207.8,-108.052461,38.94044,4525.4,2.05,3.55,44.9
20200211-18:33:58.248500,-108.225149,39.069124,3037,243.4,233.5,208.6,-108.052463,38.940442,4525.4,2.07,3.55,44.9
20200211-18:33:58.348520,-108.225149,39.069031,3037,243.3,232.8,207.4,-108.052466,38.940445,4525.4,2.05,3.55,44.9
20200211-18:33:58.448520,-108.225057,39.069031,3037,240.4,231.3,208.2,-108.052468,38.940447,4525.4,2.04,3.55,44.9
20200211-18:33:58.548520,-108.225057,39.068938,3037,242.8,234.1,208.4,-108.052471,38.940449,4525.4,2.02,3.55,44.9
20200211-18:33:58.648520,-108.224964,39.068938,3037,242.6,231.8,207.9,-108.052473,38.940451,4525.4,2.02,3.55,44.9
20200211-18:33:58.748520,-108.224964,39.068846,3037,243.3,232.6,207.5,-108.052476,38.940454,4525.4,2.03,3.56,44.9
20200211-18:33:58.848520,-108.224872,39.068846,3037,243,232.9,206.8,-108.052479,38.940456,4525.4,2.05,3.56,44.9
20200211-18:33:58.948540,-108.224779,39.068753,3037,242.8,233,207.2,-108.052481,38.940458,4525.4,2.07,3.55,44.9
20200211-18:33:59.048540,-108.224779,39.068753,3037,243.1,233,206.8,-108.052484,38.94046,4525.4,2.05,3.55,44.9
20200211-18:33:59.148540,-108.224686,39.068661,3037,242.3,231.6,206.4,-108.052486,38.940463,4525.4,2.05,3.55,44.9
20200211-18:33:59.248540,-108.224686,39.068661,3037,242.2,232.1,206,-108.052489,38.940465,4525.4,2.04,3.56,44.9
20200211-18:33:59.348540,-108.224594,39.068568,3038,243,233.1,205.7,-108.052491,38.940467,4525.4,2.03,3.56,44.9
20200211-18:33:59.448540,-108.224501,39.068568,3038,243.3,233.2,205.8,-108.052494,38.940469,4525.4,2.04,3.56,44.9
20200211-18:33:59.548560,-108.224501,39.068475,3037,243.4,232.7,204.5,-108.052496,38.940471,4525.3,2.04,3.56,44.9
20200211-18:33:59.648540,-108.224409,39.068475,3038,243.5,232.6,205.6,-108.052499,38.940474,4525.3,2.06,3.56,44.9
20200211-18:33:59.748560,-108.224409,39.068383,3037,243.2,232.9,204.7,-108.052501,38.940476,4525.3,2.06,3.56,44.9
20200211-18:33:59.848560,-108.224316,39.068383,3038,243.3,231.3,204.7,-108.052504,38.940478,4525.3,2.05,3.56,44.9
20200211-18:33:59.948560,-108.224316,39.06829,3038,243.7,233.9,204.6,-108.052506,38.94048,4525.3,2.04,3.56,44.9
20200211-18:34:00.048560,-108.224223,39.06829,3038,243.1,233.1,205,-108.052509,38.940483,4525.3,2.03,3.56,44.9
20200211-18:34:00.148580,-108.224131,39.068198,3038,244.1,233,204.4,-108.052512,38.940485,4525.3,2.03,3.56,44.9
20200211-18:34:00.248560,-108.224131,39.068105,3037,244.1,232.7,205.4,-108.052514,38.940487,4525.3,2.04,3.56,44.9
20200211-18:34:00.348560,-108.224038,39.068105,3038,245.3,234,204.5,-108.052517,38.940489,4525.3,2.06,3.56,44.9
20200211-18:34:00.448580,-108.224038,39.068012,3037,248.1,234.1,204.6,-108.052519,38.940492,4525.3,2.06,3.56,44.9
20200211-18:34:00.548580,-108.223946,39.068012,3038,247.2,234,204,-108.052522,38.940494,4525.3,2.05,3.56,44.9
20200211-18:34:00.648580,-108.223946,39.06792,3037,246.8,234.6,204.9,-108.052524,38.940496,4525.3,2.05,3.57,44.9
20200211-18:34:00.748580,-108.223853,39.06792,3037,246.4,234.5,205,-108.052527,38.940498,4525.3,2.04,3.57,44.9
20200211-18:34:00.848580,-108.223853,39.067827,3037,245.3,234.3,204.6,-108.052529,38.9405,4525.3,2.04,3.56,44.9
20200211-18:34:00.948580,-108.22376,39.067827,3037,247.5,234.8,205.1,-108.052532,38.940503,4525.3,2.04,3.57,44.9
20200211-18:34:01.048580,-108.223668,39.067735,3038,246.6,232.7,205,-108.052534,38.940505,4525.3,2.05,3.57,44.9
20200211-18:34:01.148600,-108.223668,39.067735,3038,246.3,232.9,204.9,-108.052537,38.940507,4525.3,2.06,3.57,44.9
20200211-18:34:01.248600,-108.223575,39.067642,3038,244.5,231.5,205.1,-108.052539,38.940509,4525.3,2.07,3.57,44.9
20200211-18:34:01.348600,-108.223483,39.067642,3038,246.2,234.3,205.2,-108.052542,38.940512,4525.3,2.07,3.57,44.9
20200211-18:34:01.448600,-108.223483,39.067549,3038,246.3,233.1,205.3,-108.052545,38.940514,4525.3,2.05,3.57,44.9
20200211-18:34:01.548600,-108.22339,39.067549,3038,245.8,234.1,204.8,-108.052547,38.940516,4525.3,2.04,3.57,44.9
